State Dimensions: 364
Action Dimensions: 2
Action Max: 0.2 m/s and 1 rad/s
---------------------- EPISODE 1 --------------------
waiting for service
reset called
[INFO] [1650672289.419011, 0.831000]: Goal position : 0.6, 0.0
0.6 0.0
step: 108 | reward: -8.0 | done: False | action: 0.08502964675426483,1.0
step: 109 | reward: 2.0000000000000018 | done: False | action: 0.07174931466579437,0.9041008353233337
step: 110 | reward: 2.0000000000000018 | done: False | action: 0.0758046805858612,0.9374756813049316
step: 111 | reward: 2.0000000000000018 | done: False | action: 0.06064612418413162,0.7561679482460022
step: 112 | reward: 4.0000000000000036 | done: False | action: 0.077608123421669,0.6939242482185364
step: 113 | reward: 2.0000000000000018 | done: False | action: 0.07927843928337097,0.6048677563667297
step: 114 | reward: 2.0000000000000018 | done: False | action: 0.07697826623916626,0.5960524678230286
step: 115 | reward: 4.0000000000000036 | done: False | action: 0.07191729545593262,0.8141523599624634
step: 116 | reward: 2.0000000000000018 | done: False | action: 0.07306528091430664,0.9888588786125183
step: 117 | reward: 2.0000000000000018 | done: False | action: 0.07725490629673004,1.0
step: 118 | reward: 2.0000000000000018 | done: False | action: 0.05303870514035225,1.0
step: 119 | reward: 2.0000000000000018 | done: False | action: 0.06444265693426132,1.0
step: 120 | reward: -8.0 | done: False | action: 0.06509973108768463,0.9814386367797852
step: 121 | reward: 2.0000000000000018 | done: False | action: 0.03178005665540695,0.9117214679718018
step: 122 | reward: -8.0 | done: False | action: 0.03156313672661781,0.9638677835464478
step: 123 | reward: -8.0 | done: False | action: 0.033884305506944656,0.9106684327125549
step: 124 | reward: -8.0 | done: False | action: 0.05717923119664192,1.0
step: 125 | reward: -8.0 | done: False | action: 0.06521781533956528,1.0
step: 126 | reward: -8.0 | done: False | action: 0.06744121015071869,1.0
step: 127 | reward: -8.0 | done: False | action: 0.06399266421794891,1.0
step: 128 | reward: -8.0 | done: False | action: 0.0659763514995575,1.0
step: 129 | reward: -8.0 | done: False | action: 0.04936611279845238,0.8132157921791077
step: 130 | reward: -8.0 | done: False | action: 0.04341351240873337,0.6604759693145752
step: 131 | reward: -8.0 | done: False | action: 0.04818791523575783,0.7082590460777283
step: 132 | reward: -8.0 | done: False | action: 0.05602607876062393,0.7494556307792664
step: 133 | reward: -8.0 | done: False | action: 0.06083595007658005,0.7734494209289551
step: 134 | reward: -8.0 | done: False | action: 0.08799988031387329,0.9582216143608093
step: 135 | reward: -8.0 | done: False | action: 0.07077814638614655,0.9490626454353333
step: 136 | reward: -8.0 | done: False | action: 0.05495114251971245,0.8325698971748352
step: 137 | reward: -8.0 | done: False | action: 0.060227926820516586,0.874142050743103
step: 138 | reward: -8.0 | done: False | action: 0.07449905574321747,0.9016488790512085
step: 139 | reward: -8.0 | done: False | action: 0.08108222484588623,0.7759076952934265
step: 140 | reward: -8.0 | done: False | action: 0.07315770536661148,0.7201197743415833
step: 141 | reward: -8.0 | done: False | action: 0.07067127525806427,0.8443567752838135
step: 142 | reward: -8.0 | done: False | action: 0.0854095071554184,0.7506964802742004
step: 143 | reward: 2.0000000000000018 | done: False | action: 0.07162085920572281,0.792648434638977
step: 144 | reward: -8.0 | done: False | action: 0.06936971098184586,0.9453274011611938
step: 145 | reward: 2.0000000000000018 | done: False | action: 0.06889931112527847,0.8338398933410645
step: 146 | reward: -8.0 | done: False | action: 0.05509543418884277,0.7130908370018005
step: 147 | reward: 2.0000000000000018 | done: False | action: 0.053009796887636185,0.8554391860961914
step: 148 | reward: 2.0000000000000018 | done: False | action: 0.04691958427429199,1.0
step: 149 | reward: 2.0000000000000018 | done: False | action: 0.028903214260935783,0.9499226212501526
step: 150 | reward: -8.0 | done: False | action: 0.03706653043627739,0.8413325548171997
step: 151 | reward: 2.0000000000000018 | done: False | action: 0.031709447503089905,0.7727268934249878
step: 152 | reward: -8.0 | done: False | action: 0.04345979541540146,0.9409344792366028
step: 153 | reward: 2.0000000000000018 | done: False | action: 0.05922909453511238,1.0
step: 154 | reward: 2.0000000000000018 | done: False | action: 0.05100513622164726,1.0
step: 155 | reward: 2.0000000000000018 | done: False | action: 0.06674142181873322,1.0
step: 156 | reward: -8.0 | done: False | action: 0.06726724654436111,1.0
step: 157 | reward: 2.0000000000000018 | done: False | action: 0.0539940670132637,1.0
step: 158 | reward: -8.0 | done: False | action: 0.06052635610103607,1.0
step: 159 | reward: -8.0 | done: False | action: 0.06203530728816986,1.0
step: 160 | reward: -8.0 | done: False | action: 0.06297141313552856,1.0
step: 161 | reward: -8.0 | done: False | action: 0.06299518793821335,1.0
step: 162 | reward: -8.0 | done: False | action: 0.04346652328968048,1.0
step: 163 | reward: -8.0 | done: False | action: 0.07123737037181854,1.0
step: 164 | reward: -8.0 | done: False | action: 0.08388440310955048,1.0
step: 165 | reward: -8.0 | done: False | action: 0.06809762865304947,0.9405829906463623
step: 166 | reward: -8.0 | done: False | action: 0.054576575756073,0.7700614929199219
step: 167 | reward: -8.0 | done: False | action: 0.053766898810863495,0.8638988137245178
step: 168 | reward: -8.0 | done: False | action: 0.041817955672740936,0.8828879594802856
step: 169 | reward: -8.0 | done: False | action: 0.04564613848924637,1.0
step: 170 | reward: -8.0 | done: False | action: 0.06233998015522957,1.0
step: 171 | reward: -8.0 | done: False | action: 0.0610840767621994,1.0
step: 172 | reward: -8.0 | done: False | action: 0.0692775547504425,1.0
step: 173 | reward: -8.0 | done: False | action: 0.050274550914764404,1.0
step: 174 | reward: -8.0 | done: False | action: 0.03265248239040375,1.0
step: 175 | reward: -8.0 | done: False | action: 0.032186269760131836,1.0
step: 176 | reward: -8.0 | done: False | action: 0.04595380648970604,1.0
step: 177 | reward: 2.0000000000000018 | done: False | action: 0.06612830609083176,1.0
step: 178 | reward: -8.0 | done: False | action: 0.06775322556495667,0.9700732231140137
step: 179 | reward: 2.0000000000000018 | done: False | action: 0.05745382234454155,0.9058548808097839
step: 180 | reward: -8.0 | done: False | action: 0.07096784561872482,1.0
